id,db_id,question,gold_sql,reason,revised
135,bbc_channels,Find the id and name of the channel that is not directed by Hank Baskett.,"SELECT t1.name , t1.channel_id FROM channel AS t1 JOIN director_admin AS t2 ON t1.channel_id = t2.channel_id JOIN director AS t3 ON t2.director_id = t3.director_id WHERE t3.name != ""Hank Baskett""","The joins create one row per (channel, director) pair. Filtering with t3.name != 'Hank Baskett' only removes rows where the matched director is Hank, but a channel can still appear through another director row, so the predicate is insufficient.","SELECT c.Channel_ID,   c.Name  FROM channel AS c  WHERE c.Channel_ID NOT IN (   SELECT da.Channel_ID   FROM director_admin AS da   JOIN director AS d ON da.Director_ID = d.Director_ID   WHERE d.Name = 'Hank Baskett'  );"
140,tv_shows,Show the transmitters of radios whose ERP is bigger than 150 or smaller than 30.,SELECT Transmitter FROM radio WHERE ERP_kW > 150 OR ERP_kW < 30,"The column ERP_kW is TEXT. SQLite compares TEXT lexicographically when no casting is done, e.g. '40' > '150' and '100' < '30', leading the annotated query to include transmitters with ERP 40 kW and 100 kW. Casting the column to REAL shows only four correct transmitters (ERP 160 kW, 160 kW, 16 kW, 12.5 kW). Hence the original query is incorrect.",SELECT Transmitter FROM radio WHERE CAST(ERP_kW AS REAL) > 150 OR CAST(ERP_kW AS REAL) < 30;
141,tv_shows,What is the transmitter of the radio with the largest ERP_kW?,SELECT Transmitter FROM radio ORDER BY ERP_kW DESC LIMIT 1,"The annotated query orders by the text column ERP_kW; in lexicographic order ""40"" sorts above ""160"", thus the query returns a 40-kW transmitter instead of the correct 160-kW ones. Casting to REAL shows the true maximum (160) and that there are two rows (Maghera, Mullaghanish).",SELECT Transmitter  FROM radio  WHERE CAST(ERP_kW AS REAL) = (   SELECT MAX(CAST(ERP_kW AS REAL)) FROM radio  );
148,tv_shows,Show the transmitters of radios and the station names of the channels they are associated with in descending order of the ERP of the radios.,"SELECT T3.Transmitter , T2.Station_name FROM city_channel_radio AS T1 JOIN city_channel AS T2 ON T1.City_channel_ID = T2.ID JOIN radio AS T3 ON T1.Radio_ID = T3.Radio_ID ORDER BY T3.ERP_kW DESC","The query retrieves the right columns (Transmitter, Station_name) and joins the proper tables, but it orders by ERP_kW, which is stored as TEXT. Using simple ORDER BY T3.ERP_kW DESC therefore applies lexicographic ordering, producing '40' before '160' and thus breaking the requested “descending order of the ERP of the radios”. Numeric casting is necessary.","SELECT T3.Transmitter,   T2.Station_name  FROM city_channel_radio AS T1  JOIN city_channel AS T2 ON T1.City_channel_ID = T2.ID  JOIN radio AS T3 ON T1.Radio_ID = T3.Radio_ID  ORDER BY CAST(T3.ERP_kW AS REAL) DESC;"
160,vehicle_driver,Return the id of the vehicle that has been driven the fewest times.,SELECT vehicle_id FROM vehicle_driver GROUP BY vehicle_id ORDER BY count(*) ASC LIMIT 1,"The question asks for the vehicle id that has been driven the fewest times, which requires considering all vehicles, including those never driven. The annotated query only examines vehicle_driver, excluding vehicles with zero drives.",SELECT v.Vehicle_ID  FROM vehicle AS v  LEFT JOIN vehicle_driver AS vd ON v.Vehicle_ID = vd.Vehicle_ID  GROUP BY v.Vehicle_ID  ORDER BY COUNT(vd.Driver_ID) ASC  LIMIT 1;
173,vehicle_driver,Which car models have total production larger than 100 or top speed higher than 150?,SELECT model FROM vehicle WHERE total_production > 100 OR top_speed > 150,"The query compares the TEXT column Total_Production directly with the numeric literal 100. In SQLite that comparison is performed lexicographically, so values such as '20', '3', '50', etc. are considered greater than '100'. Consequently the query returns models (e.g. 'DJ1') whose real production is below 100, giving a wrong answer. Casting the column to INTEGER (or storing it as a numeric type) is required.",SELECT DISTINCT Model  FROM vehicle  WHERE CAST(Total_Production AS INTEGER) > 100   OR Top_Speed > 150;
174,vehicle_driver,Give the models of cars that have a total production of over 100 or a top speed over 150.,SELECT model FROM vehicle WHERE total_production > 100 OR top_speed > 150,"The query compares the TEXT column Total_Production directly with the numeric literal 100. In SQLite that comparison is performed lexicographically, so values such as '20', '3', '50', etc. are considered greater than '100'. Consequently the query returns models (e.g. 'DJ1') whose real production is below 100, giving a wrong answer. Casting the column to INTEGER (or storing it as a numeric type) is required.",SELECT DISTINCT Model  FROM vehicle  WHERE CAST(Total_Production AS INTEGER) > 100   OR Top_Speed > 150;
179,vehicle_driver,What are the vehicle ids and models of the vehicle which have been driven by two drivers or been manufactured by 'Ziyang'.,"SELECT T1.vehicle_id , T1.model FROM vehicle AS T1 JOIN vehicle_driver AS T2 ON T1.vehicle_id = T2.vehicle_id GROUP BY T2.vehicle_id HAVING count(*) = 2 OR T1.builder = 'Ziyang'","1. Inner-join flaw – By starting with an INNER JOIN to vehicle_driver, every output row requires at least one matching driver record. Vehicles manufactured by ‘Ziyang’ that have never been driven will therefore disappear, although the question asks to include them.     2. Ambiguous counting – The English phrase “driven by two drivers” can mean “exactly two” or “at least two”. The annotated query picks “exactly two” (COUNT(*) = 2). Because the question wording does not make this clear, multiple interpretations are possible.","SELECT v.Vehicle_ID, v.Model  FROM vehicle v  WHERE v.Builder = 'Ziyang'  UNION  SELECT v.Vehicle_ID, v.Model  FROM vehicle v  JOIN vehicle_driver vd ON v.Vehicle_ID = vd.Vehicle_ID  GROUP BY v.Vehicle_ID, v.Model  HAVING COUNT(DISTINCT vd.Driver_ID) = 2;"
180,vehicle_driver,Return the ids and models of vehicles that have been driven by exactly two drivers or built by Ziyang.,"SELECT T1.vehicle_id , T1.model FROM vehicle AS T1 JOIN vehicle_driver AS T2 ON T1.vehicle_id = T2.vehicle_id GROUP BY T2.vehicle_id HAVING count(*) = 2 OR T1.builder = 'Ziyang'",The query keeps only vehicles that have at least one row in vehicle_driver (because of INNER JOIN). Therefore a vehicle whose Builder is ‘Ziyang’ but that has never been driven is lost.,"SELECT v.Vehicle_ID,   v.Model  FROM vehicle AS v  LEFT JOIN vehicle_driver AS vd   ON v.Vehicle_ID = vd.Vehicle_ID  GROUP BY v.Vehicle_ID  HAVING COUNT(DISTINCT vd.Driver_ID) = 2   OR v.Builder = 'Ziyang';"
279,customers_and_orders,Show all customer names with the payment method code used by least number of customers.,SELECT customer_name FROM Customers WHERE payment_method_code = ( SELECT payment_method_code FROM Customers GROUP BY payment_method_code ORDER BY count(*) ASC LIMIT 1),1. Should project both customer_name and payment_method_code.,"SELECT customer_name, payment_method_code  FROM Customers  WHERE payment_method_code IN (   SELECT payment_method_code   FROM Customers   GROUP BY payment_method_code   HAVING COUNT(*) = (   SELECT MIN(cnt)   FROM (   SELECT COUNT(*) AS cnt   FROM Customers   GROUP BY payment_method_code   )   )  );"
293,customers_and_orders,"Show all customer names, ids and the number of orders by each customer.","SELECT T2.customer_name , T1.customer_id , count(*) FROM Customer_orders AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.customer_id","The query counts orders only for customers that appear in Customer_Orders because it uses an INNER JOIN. Customers who have placed no orders (e.g. customer_id = 2 ""Edmond"") are omitted, so the result set is incomplete with respect to “each customer”. A LEFT JOIN from Customers to Customer_Orders is required.","SELECT C.customer_name,   C.customer_id,   COUNT(O.order_id) AS num_orders  FROM Customers C  LEFT JOIN Customer_Orders O ON C.customer_id = O.customer_id  GROUP BY C.customer_id, C.customer_name;"
294,customers_and_orders,"What are the names, ids, and number of orders made for each customer?","SELECT T2.customer_name , T1.customer_id , count(*) FROM Customer_orders AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.customer_id","The query counts orders by doing an inner join between Customers and Customer_Orders, therefore it returns only customers who have at least one order (10 rows) and omits those with zero orders (5 rows). The question asks for the number of orders ""for each customer"", which requires including even those with zero orders. Hence the query is incomplete. A left join is needed.","SELECT c.customer_name, c.customer_id, COUNT(o.order_id) AS order_count  FROM Customers c  LEFT JOIN Customer_Orders o ON o.customer_id = c.customer_id  GROUP BY c.customer_id, c.customer_name;"
313,customers_and_orders,Show all the order dates and ids of the orders with quantity of any product larger than 6 or with more than 3 products.,"SELECT T1.order_date , T1.order_id FROM Customer_Orders AS T1 JOIN Order_items AS T2 ON T1.order_id = T2.order_id WHERE T2.order_quantity > 6 UNION SELECT T1.order_date , T1.order_id FROM Customer_Orders AS T1 JOIN Order_items AS T2 ON T1.order_id = T2.order_id GROUP BY T1.order_id HAVING count(*) > 3;","1. order_quantity is stored as VARCHAR. The query compares it to the number 6 without casting, so the comparison is lexicographic. Quantities such as '10', '12' etc. would not satisfy order_quantity > 6, causing valid orders to be omitted.  2. The second branch measures the size of an order with COUNT(*), which counts rows, not distinct products. If an order lists the same product multiple times it can be over-counted, and an order with >3 rows but ≤3 distinct products would erroneously qualify. The requirement is COUNT(DISTINCT product_id) > 3.","WITH qty_cond AS (   SELECT DISTINCT order_id   FROM Order_Items   WHERE CAST(order_quantity AS INTEGER) > 6  ),  prod_cnt_cond AS (   SELECT order_id   FROM Order_Items   GROUP BY order_id   HAVING COUNT(DISTINCT product_id) > 3  )  SELECT co.order_date,   co.order_id  FROM Customer_Orders AS co  WHERE co.order_id IN (SELECT * FROM qty_cond   UNION   SELECT * FROM prod_cnt_cond)  ORDER BY co.order_id;"
